CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
3804,25129,100014,PDC,14
3804,25129,100014,LIBRE,79
3611,25055,100034,PDC,34
3611,25055,100034,LIBRE,52
3611,25055,100054,PDC,43
3611,25055,100054,LIBRE,42
3611,25055,100064,PDC,40
3611,25055,100064,LIBRE,37
3611,25055,100094,PDC,38
3611,25055,100094,LIBRE,43
3611,25055,100114,PDC,44
3611,25055,100114,LIBRE,37
3611,25056,100184,PDC,67
3611,25056,100184,LIBRE,6
3611,25158,100584,PDC,70
3611,25158,100584,LIBRE,32
3611,25160,100634,PDC,87
3611,25160,100634,LIBRE,27
3611,25160,100644,PDC,70
3611,25160,100644,LIBRE,18
3611,25164,100924,PDC,69
3611,25164,100924,LIBRE,21
3611,25164,100954,PDC,39
3611,25164,100954,LIBRE,16
3611,25167,101104,PDC,89
3611,25167,101104,LIBRE,18
3611,25167,101124,PDC,71
3611,25167,101124,LIBRE,19
3611,25167,101144,PDC,24
3611,25167,101144,LIBRE,6
3611,25168,101154,PDC,91
3611,25168,101154,LIBRE,20
3611,25173,101464,PDC,84
3611,25173,101464,LIBRE,36
3611,25173,101474,PDC,77
3611,25173,101474,LIBRE,26
3611,25173,101484,PDC,69
3611,25173,101484,LIBRE,33
3611,25173,101494,PDC,29
3611,25173,101494,LIBRE,9
3611,25174,101544,PDC,98
3611,25174,101544,LIBRE,17
3611,25174,101584,PDC,87
3611,25174,101584,LIBRE,23
3611,25174,101594,PDC,23
3611,25174,101594,LIBRE,6
3611,25175,101604,PDC,88
3611,25175,101604,LIBRE,12
3611,25175,101644,PDC,69
3611,25175,101644,LIBRE,9
3611,25189,101684,PDC,75
3611,25189,101684,LIBRE,16
3611,25189,101694,PDC,41
3611,25189,101694,LIBRE,9
4129,25192,101874,PDC,70
4129,25192,101874,LIBRE,20
4129,25192,101884,PDC,60
4129,25192,101884,LIBRE,20
4129,25192,101894,PDC,67
4129,25192,101894,LIBRE,15
4129,25192,101914,PDC,71
4129,25192,101914,LIBRE,15
4130,25176,102124,PDC,107
4130,25176,102124,LIBRE,11
4130,25176,102154,PDC,98
4130,25176,102154,LIBRE,13
4130,25177,102314,PDC,103
4130,25177,102314,LIBRE,18
4130,25177,102334,PDC,101
4130,25177,102334,LIBRE,18
4130,25177,102374,PDC,105
4130,25177,102374,LIBRE,20
4132,25180,102544,PDC,88
4132,25180,102544,LIBRE,21
4132,25180,102554,PDC,101
4132,25180,102554,LIBRE,11
4132,25180,102564,PDC,84
4132,25180,102564,LIBRE,9
4132,25180,102614,PDC,115
4132,25180,102614,LIBRE,16
4132,25181,102694,PDC,76
4132,25181,102694,LIBRE,15
4133,25182,102764,PDC,63
4133,25182,102764,LIBRE,16
4133,25182,102774,PDC,73
4133,25182,102774,LIBRE,20
4133,25182,102784,PDC,64
4133,25182,102784,LIBRE,21
4134,25183,102804,PDC,103
4134,25183,102804,LIBRE,7
4134,25183,102844,PDC,100
4134,25183,102844,LIBRE,14
4134,25183,102854,PDC,89
4134,25183,102854,LIBRE,12
4134,25183,102864,PDC,18
4134,25183,102864,LIBRE,2
4135,25185,103044,PDC,85
4135,25185,103044,LIBRE,14
4135,25185,103064,PDC,104
4135,25185,103064,LIBRE,7
4135,25185,103074,PDC,90
4135,25185,103074,LIBRE,12
4135,25185,103084,PDC,90
4135,25185,103084,LIBRE,12
4136,25062,103104,PDC,110
4136,25062,103104,LIBRE,11
4136,25062,103164,PDC,75
4136,25062,103164,LIBRE,26
4139,25186,103414,PDC,94
4139,25186,103414,LIBRE,18
4140,25064,103544,PDC,58
4140,25064,103544,LIBRE,15
4140,25187,103604,PDC,35
4140,25187,103604,LIBRE,12
4140,25187,103624,PDC,48
4140,25187,103624,LIBRE,6
4140,25187,103664,PDC,28
4140,25187,103664,LIBRE,3
4141,25146,103814,PDC,96
4141,25146,103814,LIBRE,19
4142,25147,103954,PDC,18
4142,25147,103954,LIBRE,4
4368,26080,103964,PDC,100
4368,26080,103964,LIBRE,16
4371,26083,104054,PDC,95
4371,26083,104054,LIBRE,7
4371,26083,104064,PDC,84
4371,26083,104064,LIBRE,4
4371,26083,104074,PDC,25
4371,26083,104074,LIBRE,1
4143,25148,104224,PDC,118
4143,25148,104224,LIBRE,11
4143,25148,104264,PDC,92
4143,25148,104264,LIBRE,28
4143,25148,104274,PDC,77
4143,25148,104274,LIBRE,24
4143,25148,104294,PDC,97
4143,25148,104294,LIBRE,15
4143,25148,104324,PDC,96
4143,25148,104324,LIBRE,12
4143,25148,104334,PDC,94
4143,25148,104334,LIBRE,17
4144,25149,104364,PDC,126
4144,25149,104364,LIBRE,16
4144,25149,104374,PDC,134
4144,25149,104374,LIBRE,13
3613,25066,104544,PDC,64
3613,25066,104544,LIBRE,24
3613,25066,104564,PDC,64
3613,25066,104564,LIBRE,25
3613,25066,104664,PDC,79
3613,25066,104664,LIBRE,12
3613,25066,104714,PDC,93
3613,25066,104714,LIBRE,15
4376,26088,104744,PDC,95
4376,26088,104744,LIBRE,17
4376,26088,104754,PDC,11
4376,26088,104754,LIBRE,7
4377,26089,104764,PDC,59
4377,26089,104764,LIBRE,26
3762,25154,104924,PDC,83
3762,25154,104924,LIBRE,22
4374,26086,104974,PDC,59
4374,26086,104974,LIBRE,7
3763,25088,104994,PDC,78
3763,25088,104994,LIBRE,41
3763,25088,105014,PDC,91
3763,25088,105014,LIBRE,35
3765,25090,105094,PDC,62
3765,25090,105094,LIBRE,48
3766,25091,105164,PDC,33
3766,25091,105164,LIBRE,4
4073,25303,105204,PDC,99
4073,25303,105204,LIBRE,21
4073,25303,105234,PDC,67
4073,25303,105234,LIBRE,12
4375,26087,105254,PDC,22
4375,26087,105254,LIBRE,10
4378,26183,105264,PDC,101
4378,26183,105264,LIBRE,11
4378,26183,105274,PDC,36
4378,26183,105274,LIBRE,5
4381,26093,105324,PDC,83
4381,26093,105324,LIBRE,17
4381,26093,105334,PDC,74
4381,26093,105334,LIBRE,3
4384,26096,105384,PDC,21
4384,26096,105384,LIBRE,5
4384,26096,105394,PDC,13
4384,26096,105394,LIBRE,1
4372,32420,105464,PDC,63
4372,32420,105464,LIBRE,5
3805,25130,105484,PDC,22
3805,25130,105484,LIBRE,76
3619,25078,105514,PDC,131
3619,25078,105514,LIBRE,18
3619,25078,105524,PDC,117
3619,25078,105524,LIBRE,20
3619,25078,105534,PDC,139
3619,25078,105534,LIBRE,21
3619,25078,105594,PDC,120
3619,25078,105594,LIBRE,21
3619,25078,105614,PDC,110
3619,25078,105614,LIBRE,26
3619,25079,105644,PDC,125
3619,25079,105644,LIBRE,25
3619,25079,105664,PDC,81
3619,25079,105664,LIBRE,41
3619,25079,105704,PDC,109
3619,25079,105704,LIBRE,37
3619,25079,105714,PDC,101
3619,25079,105714,LIBRE,22
3619,25200,105734,PDC,149
3619,25200,105734,LIBRE,22
3619,25200,105754,PDC,157
3619,25200,105754,LIBRE,12
3619,25201,105934,PDC,118
3619,25201,105934,LIBRE,50
3619,25201,105944,PDC,140
3619,25201,105944,LIBRE,33
3619,25202,105974,PDC,138
3619,25202,105974,LIBRE,20
3619,25202,105984,PDC,114
3619,25202,105984,LIBRE,20
3619,25202,106014,PDC,130
3619,25202,106014,LIBRE,14
3619,25202,106024,PDC,112
3619,25202,106024,LIBRE,17
3619,25202,106034,PDC,126
3619,25202,106034,LIBRE,14
3619,25202,106044,PDC,141
3619,25202,106044,LIBRE,32
3619,25202,106064,PDC,104
3619,25202,106064,LIBRE,14
3619,25202,106074,PDC,118
3619,25202,106074,LIBRE,28
3619,25202,106104,PDC,161
3619,25202,106104,LIBRE,7
3619,25202,106114,PDC,123
3619,25202,106114,LIBRE,22
3619,25202,106124,PDC,127
3619,25202,106124,LIBRE,21
3619,25204,106144,PDC,135
3619,25204,106144,LIBRE,19
3619,25204,106154,PDC,126
3619,25204,106154,LIBRE,13
3619,25204,106164,PDC,119
3619,25204,106164,LIBRE,21
3619,25204,106174,PDC,109
3619,25204,106174,LIBRE,23
3619,25204,106184,PDC,98
3619,25204,106184,LIBRE,13
3619,25204,106204,PDC,78
